"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"206068_PM_s_at"	"206068_PM_s_at"	"AI367275"	"acyl-CoA dehydrogenase, long chain"	"ACADL"
"202502_PM_at"	"202502_PM_at"	"NM_000016"	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	"ACADM"
"202366_PM_at"	"202366_PM_at"	"NM_000017"	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	"ACADS"
"205355_PM_at"	"205355_PM_at"	"NM_001609"	"acyl-CoA dehydrogenase, short/branched chain"	"ACADSB"
"200710_PM_at"	"200710_PM_at"	"NM_000018"	"acyl-CoA dehydrogenase, very long chain"	"ACADVL"
"1554950_PM_at"	"1554950_PM_at"	"BC036445"	"aggrecan"	"ACAN"
"205212_PM_s_at"	"205212_PM_s_at"	"NM_014716"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"ACAP1"
"1552472_PM_a_at"	"1552472_PM_a_at"	"NM_012287"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"ACAP2"
"225529_PM_at"	"225529_PM_at"	"AI492175"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"ACAP3"
"1554947_PM_at"	"1554947_PM_at"	"BC010942"	"acetyl-CoA acetyltransferase 1"	"ACAT1"
"209608_PM_s_at"	"209608_PM_s_at"	"BC000408"	"acetyl-CoA acetyltransferase 2"	"ACAT2"
"202323_PM_s_at"	"202323_PM_s_at"	"AI636775"	"acyl-CoA binding domain containing 3"	"ACBD3"
"219413_PM_at"	"219413_PM_at"	"NM_024722"	"acyl-CoA binding domain containing 4"	"ACBD4"
"1568877_PM_a_at"	"1568877_PM_a_at"	"BC025309"	"acyl-CoA binding domain containing 5"	"ACBD5"
"225317_PM_at"	"225317_PM_at"	"AL574669"	"acyl-CoA binding domain containing 6"	"ACBD6"
"206690_PM_at"	"206690_PM_at"	"NM_001094"	"amiloride-sensitive cation channel 1, neuronal"	"ACCN1"
"205156_PM_s_at"	"205156_PM_s_at"	"NM_020039"	"amiloride-sensitive cation channel 2, neuronal"	"ACCN2"
"207561_PM_s_at"	"207561_PM_s_at"	"NM_020322"	"amiloride-sensitive cation channel 3"	"ACCN3"
"221226_PM_s_at"	"221226_PM_s_at"	"NM_018674"	"amiloride-sensitive cation channel 4, pituitary"	"ACCN4"
"1564504_PM_at"	"1564504_PM_at"	"AJ252011"	"amiloride-sensitive cation channel 5, intestinal"	"ACCN5"
"228264_PM_at"	"228264_PM_at"	"AI676022"	"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)"	"ACCS"
"204617_PM_s_at"	"204617_PM_s_at"	"NM_022914"	"adrenocortical dysplasia homolog (mouse)"	"ACD"
"209749_PM_s_at"	"209749_PM_s_at"	"AI623989"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"	"ACE"
"219962_PM_at"	"219962_PM_at"	"NM_021804"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"	"ACE2"
"1553929_PM_at"	"1553929_PM_at"	"NM_133492"	"alkaline ceramidase 1"	"ACER1"
"222687_PM_s_at"	"222687_PM_s_at"	"R12678"	"alkaline ceramidase 3"	"ACER3"
"205377_PM_s_at"	"205377_PM_s_at"	"AI190022"	"acetylcholinesterase (Yt blood group)"	"ACHE"
"201715_PM_s_at"	"201715_PM_s_at"	"NM_014977"	"apoptotic chromatin condensation inducer 1"	"ACIN1"
"201127_PM_s_at"	"201127_PM_s_at"	"AI971281"	"ATP citrate lyase"	"ACLY"
"230602_PM_at"	"230602_PM_at"	"AW025340"	"aminocarboxymuconate semialdehyde decarboxylase"	"ACMSD"
"218981_PM_at"	"218981_PM_at"	"NM_020186"	"ACN9 homolog (S. cerevisiae)"	"ACN9"
"207071_PM_s_at"	"207071_PM_s_at"	"NM_002197"	"aconitase 1, soluble"	"ACO1"
"200793_PM_s_at"	"200793_PM_s_at"	"NM_001098"	"aconitase 2, mitochondrial"	"ACO2"
"202982_PM_s_at"	"202982_PM_s_at"	"NM_006821"	"acyl-CoA thioesterase 1 /// acyl-CoA thioesterase 2"	"ACOT1 /// ACOT2"
"1554938_PM_a_at"	"1554938_PM_a_at"	"AF416922"	"acyl-CoA thioesterase 11"	"ACOT11"
"238160_PM_at"	"238160_PM_at"	"R06750"	"acyl-CoA thioesterase 12"	"ACOT12"
"204565_PM_at"	"204565_PM_at"	"NM_018473"	"acyl-CoA thioesterase 13"	"ACOT13"
"229534_PM_at"	"229534_PM_at"	"AA046424"	"acyl-CoA thioesterase 4"	"ACOT4"
"241949_PM_at"	"241949_PM_at"	"BF109853"	"acyl-CoA thioesterase 6"	"ACOT6"
"208002_PM_s_at"	"208002_PM_s_at"	"NM_007274"	"acyl-CoA thioesterase 7"	"ACOT7"
"204212_PM_at"	"204212_PM_at"	"NM_005469"	"acyl-CoA thioesterase 8"	"ACOT8"
"221641_PM_s_at"	"221641_PM_s_at"	"AF241787"	"acyl-CoA thioesterase 9"	"ACOT9"
"207656_PM_s_at"	"207656_PM_s_at"	"NM_004035"	"acyl-CoA oxidase 1, palmitoyl"	"ACOX1"
"205364_PM_at"	"205364_PM_at"	"NM_003500"	"acyl-CoA oxidase 2, branched chain"	"ACOX2"
"204241_PM_at"	"204241_PM_at"	"BF055171"	"acyl-CoA oxidase 3, pristanoyl"	"ACOX3"
"220845_PM_at"	"220845_PM_at"	"NM_018308"	"acyl-CoA oxidase-like"	"ACOXL"
"1554808_PM_at"	"1554808_PM_at"	"BC020699"	"acid phosphatase 1, soluble"	"ACP1"
"202767_PM_at"	"202767_PM_at"	"NM_001610"	"acid phosphatase 2, lysosomal"	"ACP2"
"204638_PM_at"	"204638_PM_at"	"NM_001611"	"acid phosphatase 5, tartrate resistant"	"ACP5"
"218795_PM_at"	"218795_PM_at"	"NM_016361"	"acid phosphatase 6, lysophosphatidic"	"ACP6"
"226925_PM_at"	"226925_PM_at"	"AW069729"	"acid phosphatase-like 2"	"ACPL2"
"204393_PM_s_at"	"204393_PM_s_at"	"NM_001099"	"acid phosphatase, prostate"	"ACPP"
"241715_PM_x_at"	"241715_PM_x_at"	"AA861388"	"acid phosphatase, testicular"	"ACPT"
"207427_PM_at"	"207427_PM_at"	"NM_001097"	"acrosin"	"ACR"
"223717_PM_s_at"	"223717_PM_s_at"	"AB051833"	"acrosin binding protein"	"ACRBP"
"238825_PM_at"	"238825_PM_at"	"AI091533"	"acidic repeat containing"	"ACRC"
"206776_PM_x_at"	"206776_PM_x_at"	"NM_001612"	"acrosomal vesicle protein 1"	"ACRV1"
"206465_PM_at"	"206465_PM_at"	"BE856376"	"acyl-CoA synthetase bubblegum family member 1"	"ACSBG1"
"221716_PM_s_at"	"221716_PM_s_at"	"AY009107"	"acyl-CoA synthetase bubblegum family member 2"	"ACSBG2"
"218844_PM_at"	"218844_PM_at"	"NM_025149"	"acyl-CoA synthetase family member 2"	"ACSF2"
"1556552_PM_a_at"	"1556552_PM_a_at"	"AK075499"	"acyl-CoA synthetase family member 3"	"ACSF3"
"201963_PM_at"	"201963_PM_at"	"NM_021122"	"acyl-CoA synthetase long-chain family member 1"	"ACSL1"
"201660_PM_at"	"201660_PM_at"	"AL525798"	"acyl-CoA synthetase long-chain family member 3"	"ACSL3"
"1557418_PM_at"	"1557418_PM_at"	"W95007"	"Acyl-CoA synthetase long-chain family member 4"	"ACSL4"
"218322_PM_s_at"	"218322_PM_s_at"	"NM_016234"	"acyl-CoA synthetase long-chain family member 5"	"ACSL5"
"211207_PM_s_at"	"211207_PM_s_at"	"AF129166"	"acyl-CoA synthetase long-chain family member 6"	"ACSL6"
"215432_PM_at"	"215432_PM_at"	"AC003034"	"acyl-CoA synthetase medium-chain family member 1"	"ACSM1"
"241914_PM_s_at"	"241914_PM_s_at"	"AA804293"	"acyl-CoA synthetase medium-chain family member 2A /// acyl-CoA synthetase medium-chain family member 2B"	"ACSM2A /// ACSM2B"
"214069_PM_at"	"214069_PM_at"	"AA865601"	"acyl-CoA synthetase medium-chain family member 2A /// acyl-CoA synthetase medium-chain family member 2B /// similar to Acyl-coenzyme A synthetase ACSM2B, mitochondrial"	"ACSM2A /// ACSM2B /// LOC100291873"
"205942_PM_s_at"	"205942_PM_s_at"	"NM_005622"	"acyl-CoA synthetase medium-chain family member 3"	"ACSM3"
"1554514_PM_at"	"1554514_PM_at"	"BC013753"	"acyl-CoA synthetase medium-chain family member 5"	"ACSM5"
"224882_PM_at"	"224882_PM_at"	"AL035661"	"acyl-CoA synthetase short-chain family member 1"	"ACSS1"
"234312_PM_s_at"	"234312_PM_s_at"	"AK000162"	"acyl-CoA synthetase short-chain family member 2"	"ACSS2"
"219616_PM_at"	"219616_PM_at"	"NM_024560"	"acyl-CoA synthetase short-chain family member 3"	"ACSS3"
"203872_PM_at"	"203872_PM_at"	"NM_001100"	"actin, alpha 1, skeletal muscle"	"ACTA1"
"200974_PM_at"	"200974_PM_at"	"NM_001613"	"actin, alpha 2, smooth muscle, aorta"	"ACTA2"
"200801_PM_x_at"	"200801_PM_x_at"	"NM_001101"	"actin, beta"	"ACTB"
"205132_PM_at"	"205132_PM_at"	"NM_005159"	"actin, alpha, cardiac muscle 1"	"ACTC1"
"201550_PM_x_at"	"201550_PM_x_at"	"NM_001614"	"actin, gamma 1"	"ACTG1"
"202274_PM_at"	"202274_PM_at"	"NM_001615"	"actin, gamma 2, smooth muscle, enteric"	"ACTG2"
"202666_PM_s_at"	"202666_PM_s_at"	"NM_004301"	"actin-like 6A"	"ACTL6A"
"206013_PM_s_at"	"206013_PM_s_at"	"NM_016188"	"actin-like 6B"	"ACTL6B"
"220501_PM_at"	"220501_PM_at"	"NM_006687"	"actin-like 7A"	"ACTL7A"
"220498_PM_at"	"220498_PM_at"	"NM_006686"	"actin-like 7B"	"ACTL7B"
"214957_PM_at"	"214957_PM_at"	"BF594459"	"actin-like 8"	"ACTL8"
"243208_PM_x_at"	"243208_PM_x_at"	"AI028227"	"actin-like 9"	"ACTL9"
"208636_PM_at"	"208636_PM_at"	"AI082078"	"actinin, alpha 1"	"ACTN1"
"203861_PM_s_at"	"203861_PM_s_at"	"AU146889"	"actinin, alpha 2"	"ACTN2"
"206891_PM_at"	"206891_PM_at"	"NM_001104"	"actinin, alpha 3"	"ACTN3"
"200601_PM_at"	"200601_PM_at"	"U48734"	"actinin, alpha 4"	"ACTN4"
"222230_PM_s_at"	"222230_PM_s_at"	"AK022248"	"actin-related protein 10 homolog (S. cerevisiae)"	"ACTR10"
"200720_PM_s_at"	"200720_PM_s_at"	"AL532341"	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	"ACTR1A"
"202135_PM_s_at"	"202135_PM_s_at"	"NM_005735"	"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"	"ACTR1B"
"1554390_PM_s_at"	"1554390_PM_s_at"	"BC036253"	"ARP2 actin-related protein 2 homolog (yeast)"	"ACTR2"
"200996_PM_at"	"200996_PM_at"	"NM_005721"	"ARP3 actin-related protein 3 homolog (yeast)"	"ACTR3"
"218868_PM_at"	"218868_PM_at"	"NM_020445"	"ARP3 actin-related protein 3 homolog B (yeast)"	"ACTR3B"
"1555487_PM_a_at"	"1555487_PM_a_at"	"BC015207"	"ARP3 actin-related protein 3 homolog B (yeast) /// similar to actin-related protein 3-beta"	"ACTR3B /// LOC100290215"
"223874_PM_at"	"223874_PM_at"	"AB039791"	"ARP3 actin-related protein 3 homolog C (yeast)"	"ACTR3C"
"219623_PM_at"	"219623_PM_at"	"NM_024855"	"ARP5 actin-related protein 5 homolog (yeast)"	"ACTR5"
"218395_PM_at"	"218395_PM_at"	"NM_022496"	"ARP6 actin-related protein 6 homolog (yeast)"	"ACTR6"
"218658_PM_s_at"	"218658_PM_s_at"	"NM_022899"	"ARP8 actin-related protein 8 homolog (yeast)"	"ACTR8"
"237360_PM_at"	"237360_PM_at"	"AI655275"	"actin-related protein T2"	"ACTRT2"
"203935_PM_at"	"203935_PM_at"	"NM_001105"	"activin A receptor, type I"	"ACVR1"
"205209_PM_at"	"205209_PM_at"	"BC000254"	"activin A receptor, type IB"	"ACVR1B"
"1552519_PM_at"	"1552519_PM_at"	"NM_145259"	"activin A receptor, type IC"	"ACVR1C"
"205327_PM_s_at"	"205327_PM_s_at"	"NM_001616"	"activin A receptor, type IIA"	"ACVR2A"
"1559548_PM_at"	"1559548_PM_at"	"BM023555"	"activin A receptor, type IIB"	"ACVR2B"
"210838_PM_s_at"	"210838_PM_s_at"	"L17075"	"activin A receptor type II-like 1"	"ACVRL1"
"202740_PM_at"	"202740_PM_at"	"NM_000666"	"aminoacylase 1"	"ACY1"
"1554974_PM_at"	"1554974_PM_at"	"AY032593"	"aspartoacylase (aminocyclase) 3"	"ACY3"
"205260_PM_s_at"	"205260_PM_s_at"	"NM_001107"	"acylphosphatase 1, erythrocyte (common) type"	"ACYP1"
"206833_PM_s_at"	"206833_PM_s_at"	"NM_001108"	"acylphosphatase 2, muscle type"	"ACYP2"
"204639_PM_at"	"204639_PM_at"	"NM_000022"	"adenosine deaminase"	"ADA"
"231448_PM_at"	"231448_PM_at"	"AW341495"	"adenosine deaminase domain containing 1 (testis-specific)"	"ADAD1"
"236463_PM_at"	"236463_PM_at"	"AL041454"	"adenosine deaminase domain containing 2"	"ADAD2"
